Japanese,Kanji,English
ikimono,いきもの、生き物,living creatures
bakemono,ばけもの、化け物,monster
dōbutsu,どうぶつ、動物,animal
chītā,チーター,cheetah
inu,いぬ、犬,dog
neko,ねこ、猫,cat
ushi,うし、牛,cow
buta,ぶた、豚,pig
uma,うま、馬,horse
hitsuji,ひつじ、羊,sheep
saru,さる、猿,monkey
nezumi,ねずみ、鼠,mouse or rat
tora,とら、虎,tiger
ōkami,オオカミ、狼,wolf
usagi,うさぎ、兎,rabbit
ryū or tatsu,りゅう、たつ、竜,dragon
shika,しか、鹿,deer
kaeru,かえる、蛙,frog
gama,がま、蟇,toad
shishi,しし、獅子,lion
kirin,キリン、麒麟,giraffe
zō,ぞう、象,elephant
tori,とり、鳥,bird
niwatori,にわとり、鶏,chicken
suzume,すずめ、雀,sparrow
karasu,からす、烏,crow or raven
washi,わし、鷲,eagle
taka,たか、鷹,hawk or falcon
sakana,さかな、魚,fish
tai,たい、鯛,red snapper
ebi,えび、海老,shrimp or lobster
iwashi,いわし、鰯,sardine
maguro,まぐろ、鮪,tuna
katsuo,かつお、鰹,bonito
sanma,さんま、秋刀魚,pike
aji,あじ、鰺,horse mackerel
saba,さば、鯖,mackerel
ika,イカ、烏賊,squid
tako,タコ、蛸、章魚,octopus
mushi,むし、虫,insect
chō,ちょう、蝶,butterfly
ga,ガ、蛾,moth
semi,せみ、蝉,cicada
tonbo,トンボ、蜻蛉,dragonfly
batta,バッタ、飛蝗,grasshopper
kumo,クモ、蜘蛛,spider
hotaru,ホタル、蛍,firefly
hae,ハエ、蝿、蠅,housefly
gnat or ka,カ、蚊,mosquito
gokiburi,ゴキブリ、蜚蠊,cockroach
katatsumuri,カタツムリ、蝸牛,snail
namekuji,ナメクジ、蛞蝓,slug
mimizu,ミミズ、蚯蚓,earthworm
kai,かい、貝,shellfish
kaigara,かいがら、貝殻,shell
tokage,トカゲ、蜥蜴,lizard
hebi,へび、蛇,snake
kuma,くま、熊,bear
