Japanese,Kanji,English
ume,うめ、梅,japanese plum or apricot
kome,こめ、米,uncooked rice
yasai,やさい、野菜,vegetable
kudamono,くだもの、果物,fruit for eating
taro or imo,いも、芋,yam or potato
mame,まめ、豆,beans or peas
daikon,だいこん、大根,Japanese white radish
ninjin,にんじん、人参,carrot
ringo,リンゴ、林檎,apple
mikan,ミカン、蜜柑,mandarin orange
kanshō,バナナ、かんしょう、甘蕉,banana
nashi,ナシ、梨,pear
kuri,クリ、栗,chestnut tree
momo,モモ、桃,peach
banka,トマト、ばんか、蕃茄,tomato
suika,スイカ、西瓜,watermelon
tabemono,たべもの、食べ物,food
chōshoku or asagohan,ちょうしょく、朝食,breakfast
hirugohan,ひるごはん、昼御飯,lunch
bangohan,ばんごはん、晩御飯,dinner
gohan,ごはん、御飯,cooked rice or meal
miso,みそ、味噌,miso
ryōri,りょうり、料理,cooking
sarada,サラダ,salad
dezāto,デザート,dessert
pan,パン,bread
sandoitchi,サンドイッチ,sandwich
oyatsu or kanshoku,おやつ、間食,snack
aisukurīmu,アイスクリーム,ice cream
takoyaki,たこやき、たこ焼き,octopus dumpling
nomimono,のみもの、飲み物,drink/beverage
cha,ちゃ、茶,tea
ocha,おちゃ、お茶,green tea
kōhī,コーヒー、珈琲,coffee
gyūnyū,ぎゅうにゅう、牛乳,milk
mizu,みず、水,water
bīru,ビール,beer
wain,ワイン,wine
satō,さとう、砂糖,sugar
shio,しお、塩,salt
shōyu,しょうゆ、醤油,soy sauce
