Japanese,Kanji,English
taiyō,たいよう、太陽,sun
tsuki,つき、月,moon
hoshi,ほし、星,star
tenki,てんき、天気,weather
hare,はれ、晴れ,clear weather
ame,あめ、雨,rain
kumori,くもり、曇り,cloudy
yuki,ゆき、雪,snow
kaze,かぜ、風,wind
kaminari,かみなり、雷,thunder or lightning
taifū,たいふう、台風,typhoon
arashi,あらし、嵐,storm
sora,そら、空,sky
kita,きた、北,north
higashi,ひがし、東,east
minami,みなみ、南,south
nishi,にし、西,west
koko,ここ,here
soko,そこ,there
asoko,あそこ,over there
migi,みぎ、右,right
hidari,ひだり、左,left
ue,うえ、上,"above,up"
shita,した、下,"below,down"
mae,まえ、前,front
ushiro,うしろ、後,behind
mukō,むこう、向こう,"the other side,opposite side"
naname,ななめ、斜め,diagonal
temae,てまえ、手前,nearer
tooi,とおい、遠い,far
chikai,ちかい、近い,"near,close"
